#start
# timestamp, 	data
1474010580.0,	29392
1474011180.0,	29402
1474013580.0,	29404
1474014420.0,	29414
1474015140.0,	29425
1474015380.0,	29455
1474017060.0,	29485
1474017300.0,	29515
1474018500.0,	29585
1474018861.0,	29601
1474019220.0,	29612
1474019700.0,	29742
1474023900.0,	29752
1474025820.0,	29755
1474027140.0,	29785
1474027861.0,	29786
1474027980.0,	29792
1474028461.0,	29802
1474028700.0,	29902
1474029061.0,	29932
1474029181.0,	29942
1474030020.0,	29957
1474030380.0,	29967
1474030860.0,	29980
1474031341.0,	30015
1474031460.0,	30035
1474033141.0,	30055
1474033861.0,	30155
1474034100.0,	30165
1474034220.0,	30265
1474034461.0,	30275
1474034700.0,	30375
1474034941.0,	30405
1474035300.0,	30505
1474035421.0,	30605
1474035660.0,	30615
1474035780.0,	30627
1474036140.0,	30657
1474036500.0,	30667
1474036980.0,	30683
1474037101.0,	30693
1474037460.0,	30703
1474037580.0,	30713
1474038300.0,	30813
1474038661.0,	30924
1474039141.0,	30925
1474039501.0,	30936
1474039620.0,	30946
1474039861.0,	31068
1474039980.0,	31098
1474040220.0,	31108
1474040340.0,	31110
1474040461.0,	31152
1474040580.0,	31214
1474040820.0,	31248
1474040941.0,	31278
1474041060.0,	31302
1474041420.0,	31362
1474041661.0,	31392
1474041781.0,	31402
1474041901.0,	31548
1474042021.0,	31631
1474042141.0,	31646
1474042261.0,	31873
1474042380.0,	31985
1474042500.0,	32137
1474042620.0,	32563
1474042740.0,	32816
1474042860.0,	33190
1474042981.0,	33354
1474043100.0,	33924
1474043220.0,	33936
1474043340.0,	34083
1474043460.0,	34796
1474043580.0,	35685
1474043701.0,	37181
1474043820.0,	37519
1474043940.0,	37734
1474044060.0,	39030
1474044180.0,	39164
1474044300.0,	39408
1474044421.0,	39854
1474044540.0,	40057
1474044660.0,	40601
1474044780.0,	41043
1474044901.0,	41243
1474045020.0,	41579
1474045140.0,	41844
1474045260.0,	42214
1474045380.0,	42627
1474045500.0,	42895
1474045621.0,	43625
1474045741.0,	43851
1474045860.0,	44507
1474045980.0,	44681
1474046100.0,	46333
1474046220.0,	46508
1474046341.0,	46644
1474046460.0,	46697
1474046580.0,	46903
1474046700.0,	46923
1474046820.0,	47062
1474046940.0,	47072
1474047061.0,	47115
1474047180.0,	47226
1474047300.0,	47874
1474047420.0,	48571
1474047540.0,	48810
1474047660.0,	49006
1474047781.0,	49106
1474047900.0,	49276
1474048020.0,	49479
1474048140.0,	49553
1474048260.0,	49646
1474048380.0,	50227
1474048501.0,	50564
1474048620.0,	50894
1474048741.0,	50924
1474048860.0,	50950
1474048980.0,	51050
1474049100.0,	51233
1474049340.0,	51333
1474049461.0,	51451
1474049580.0,	51641
1474049700.0,	51643
1474049820.0,	51649
1474049940.0,	51699
1474050060.0,	51714
1474050181.0,	51824
1474050300.0,	51834
1474050540.0,	52094
1474050661.0,	52226
1474050781.0,	52266
1474050900.0,	52336
1474051020.0,	52389
1474051140.0,	52419
1474051260.0,	52570
1474051380.0,	52671
1474051500.0,	52903
1474051620.0,	52938
1474051740.0,	52960
1474051861.0,	52980
1474051980.0,	53010
1474052100.0,	53102
1474052220.0,	53234
1474052340.0,	53324
1474052461.0,	53340
1474052580.0,	53371
1474052700.0,	53484
1474052820.0,	53539
1474052940.0,	53619
1474053300.0,	53639
1474053540.0,	53711
1474053660.0,	53810
1474053781.0,	53820
1474053900.0,	53981
1474054020.0,	53991
1474054140.0,	54011
1474054260.0,	54121
1474054380.0,	54153
1474054501.0,	54274
1474054620.0,	54304
1474054740.0,	54305
1474054860.0,	54355
1474054980.0,	54491
1474055101.0,	54522
1474055340.0,	54532
1474055460.0,	54636
1474055580.0,	54685
1474055700.0,	54740
1474055821.0,	54850
1474055941.0,	54885
1474056421.0,	54965
1474056541.0,	54975
1474056660.0,	54985
1474056900.0,	54995
1474057020.0,	55035
1474057260.0,	55135
1474057620.0,	55645
1474057741.0,	55798
1474057860.0,	55828
1474058100.0,	55929
1474058220.0,	55959
1474058341.0,	55989
1474058460.0,	56024
1474058580.0,	56216
1474058700.0,	56226
1474058820.0,	56276
1474058940.0,	56306
1474059061.0,	56376
1474059180.0,	56526
1474059300.0,	56626
1474059660.0,	56636
1474059781.0,	56686
1474060020.0,	56858
1474060140.0,	56888
1474060260.0,	57013
1474060380.0,	57043
1474060620.0,	57183
1474060740.0,	57308
1474060860.0,	57684
1474060980.0,	58288
1474061100.0,	58406
1474061221.0,	58511
1474061340.0,	58969
1474061460.0,	59089
1474061580.0,	59339
1474061700.0,	59392
1474061820.0,	59432
1474061941.0,	59522
1474062060.0,	60140
1474062180.0,	60170
1474062300.0,	60440
1474062421.0,	60472
1474062541.0,	60502
1474062660.0,	60702
1474062780.0,	61252
1474062900.0,	61422
1474063260.0,	61552
1474063380.0,	61702
1474063500.0,	61762
1474063620.0,	61813
1474063861.0,	61848
1474063981.0,	61894
1474064100.0,	61956
1474064220.0,	62008
1474064340.0,	62048
1474064460.0,	62060
1474064581.0,	62070
1474064700.0,	62080
1474064940.0,	62090
1474065060.0,	62360
1474065181.0,	62410
1474065301.0,	62450
1474065420.0,	62550
1474065540.0,	62552
1474065660.0,	62612
1474065901.0,	62759
1474066020.0,	62821
1474066140.0,	63071
1474066260.0,	63399
1474066380.0,	63511
1474066500.0,	63571
1474066621.0,	63744
1474066740.0,	63854
1474066860.0,	64011
1474066980.0,	64535
1474067100.0,	64553
1474067220.0,	64594
1474067340.0,	64694
1474067461.0,	64855
1474067700.0,	64955
1474067821.0,	65065
1474067941.0,	65155
1474068060.0,	65256
1474068181.0,	65596
1474068301.0,	65729
1474068420.0,	65961
1474068541.0,	66054
1474068660.0,	66104
1474068781.0,	66126
1474068900.0,	66156
1474069020.0,	66201
1474069141.0,	66341
1474069260.0,	66521
1474069381.0,	67371
1474069500.0,	67419
1474069621.0,	67536
1474069740.0,	67671
1474069866.0,	67847
1474069980.0,	67879
1474070220.0,	67909
1474070461.0,	68039
1474070581.0,	68050
1474070701.0,	68126
1474070820.0,	68171
1474070940.0,	68281
1474071060.0,	68291
1474071420.0,	68301
1474071541.0,	68901
1474071781.0,	68921
1474071901.0,	68953
1474072020.0,	69044
1474072380.0,	69174
1474072741.0,	69177
1474072980.0,	69187
1474073100.0,	69189
1474073220.0,	69260
1474073341.0,	69360
1474073460.0,	69380
1474073580.0,	69490
1474073701.0,	69542
1474073940.0,	69552
1474074060.0,	69582
1474074180.0,	69592
1474074301.0,	69622
1474074420.0,	69624
1474074540.0,	69727
1474074660.0,	69734
1474074781.0,	69774
1474074901.0,	70214
1474075020.0,	70245
1474075140.0,	70315
1474075260.0,	70417
1474075381.0,	70540
1474075500.0,	70752
1474075620.0,	70802
1474075740.0,	70812
1474075860.0,	70912
1474075981.0,	71044
1474076100.0,	71111
1474076220.0,	71346
1474076340.0,	71952
1474076700.0,	72109
1474076821.0,	72637
1474076940.0,	72977
1474077060.0,	73027
1474077180.0,	73059
1474077300.0,	73089
1474077421.0,	73315
1474077660.0,	73473
1474077780.0,	73503
1474077901.0,	73505
1474078381.0,	73555
1474078500.0,	73565
1474078620.0,	73605
1474078740.0,	73675
1474078981.0,	73793
1474079100.0,	73803
1474079220.0,	73942
1474079340.0,	73979
1474079461.0,	74013
1474079700.0,	74015
1474079820.0,	74025
1474080060.0,	74087
1474080541.0,	74097
1474080660.0,	74126
1474080780.0,	74136
1474081021.0,	74266
1474081140.0,	74296
1474081260.0,	74298
1474081500.0,	74398
1474081980.0,	74462
1474082220.0,	74472
1474082580.0,	74488
1474082701.0,	74559
1474082820.0,	74689
1474082940.0,	74699
1474083060.0,	74831
1474083181.0,	74942
1474083300.0,	75043
1474083540.0,	75134
1474083900.0,	75144
1474084021.0,	75170
1474084500.0,	75180
1474084740.0,	75190
1474084860.0,	75200
1474084980.0,	75222
1474086060.0,	75274
1474086781.0,	75299
1474086900.0,	75399
1474087380.0,	75409
1474087500.0,	75420
1474087620.0,	75430
1474087860.0,	75441
1474087981.0,	75455
1474088220.0,	75482
1474089541.0,	75492
1474090620.0,	75522
1474090980.0,	75532
1474091581.0,	75542
1474095300.0,	75552
1474099380.0,	75564
1474100101.0,	75575
1474101540.0,	75645
1474103340.0,	75676
1474103461.0,	75684
1474103580.0,	75714
1474103700.0,	75726
1474103820.0,	75736
1474105140.0,	75776
1474105380.0,	75786
1474105500.0,	75787
1474105621.0,	75797
1474106340.0,	75817
1474107420.0,	75821
1474111620.0,	75855
1474112940.0,	75889
1474113300.0,	75891
1474113420.0,	75901
1474114500.0,	75931
1474115700.0,	75932
1474116540.0,	75944
1474116660.0,	75974
1474117260.0,	76006
1474117501.0,	76016
1474117740.0,	76116
1474118220.0,	76136
1474118940.0,	76242
1474119781.0,	76252
1474120620.0,	76262
1474121220.0,	76292
1474121580.0,	76393
1474121940.0,	76403
1474122300.0,	76413
1474122420.0,	76463
1474123021.0,	76505
1474123380.0,	76545
1474123501.0,	76645
1474124101.0,	76675
1474126380.0,	76685
1474126620.0,	76789
1474127820.0,	76889
1474128301.0,	76989
1474128420.0,	77032
1474128540.0,	77184
1474128661.0,	77620
1474128781.0,	77813
1474128901.0,	77998
1474129021.0,	78269
1474129141.0,	78309
1474129261.0,	78506
1474129380.0,	78531
1474129501.0,	78681
1474129621.0,	78996
1474129740.0,	79194
1474129860.0,	79242
1474129981.0,	79344
1474130100.0,	79398
1474130221.0,	79928
1474130340.0,	79999
1474130460.0,	80110
1474130581.0,	80225
1474130700.0,	80235
1474130821.0,	80736
1474130940.0,	80832
1474131060.0,	80982
1474131180.0,	81069
1474131541.0,	81109
1474131661.0,	81141
1474131780.0,	81340
1474131901.0,	81350
1474132021.0,	81390
1474132141.0,	82456
1474132500.0,	82556
1474132621.0,	82591
1474132741.0,	82612
1474132861.0,	82742
1474132980.0,	82764
1474133101.0,	82970
1474133221.0,	82985
1474133341.0,	83154
1474133460.0,	83244
1474133580.0,	83340
1474133701.0,	83642
1474133821.0,	83703
1474133941.0,	83733
1474134061.0,	83864
1474134300.0,	83931
1474134421.0,	83941
1474134540.0,	84041
1474134661.0,	84296
1474134780.0,	84318
1474135020.0,	84562
1474135140.0,	84572
1474135261.0,	84748
1474135500.0,	84918
1474135621.0,	84948
1474135741.0,	84972
1474135860.0,	85085
1474136102.0,	85121
1474136461.0,	85412
1474136580.0,	85442
1474136701.0,	85496
1474136821.0,	85619
1474136941.0,	85685
1474137060.0,	85699
1474137181.0,	85799
1474137301.0,	85830
1474137420.0,	85868
1474137541.0,	85968
1474137661.0,	86088
1474137901.0,	86100
1474138021.0,	86170
1474138141.0,	86171
1474138262.0,	86191
1474138501.0,	86241
1474138620.0,	86261
1474138741.0,	86314
1474138866.0,	86326
1474138980.0,	86366
1474139100.0,	86966
1474139220.0,	86969
1474139341.0,	87001
1474139461.0,	87011
1474139581.0,	87071
1474139700.0,	87258
1474139820.0,	87449
1474139941.0,	87498
1474140180.0,	87544
1474140301.0,	88150
1474140420.0,	88260
1474140541.0,	88602
1474140661.0,	88612
1474140781.0,	88722
1474140900.0,	88986
1474141020.0,	89122
1474141141.0,	90143
1474141262.0,	90263
1474141381.0,	90499
1474141501.0,	90529
1474141621.0,	91174
1474141740.0,	91319
1474141861.0,	91389
1474141981.0,	91399
1474142101.0,	91426
1474142220.0,	91442
1474142341.0,	91606
1474142460.0,	91668
1474142580.0,	91741
1474142701.0,	91791
1474142821.0,	91947
1474142941.0,	92007
1474143060.0,	92043
1474143180.0,	92159
1474143301.0,	92169
1474143540.0,	92247
1474143660.0,	92291
1474143781.0,	92332
1474143900.0,	92639
1474144021.0,	92939
1474144140.0,	93114
1474144260.0,	93326
1474144380.0,	93346
1474144501.0,	93376
1474144621.0,	93704
1474144740.0,	94031
1474144860.0,	94141
1474144980.0,	94151
1474145101.0,	94411
1474145342.0,	94552
1474145461.0,	94556
1474145581.0,	94688
1474145701.0,	94788
1474145941.0,	95450
1474146301.0,	95504
1474147020.0,	95574
1474147260.0,	95589
1474147381.0,	95765
1474147501.0,	96096
1474147622.0,	96276
1474147740.0,	96406
1474147860.0,	96578
1474147980.0,	96593
1474148100.0,	96623
1474148221.0,	96625
1474148340.0,	96648
1474148461.0,	96652
1474148581.0,	96785
1474148701.0,	96803
1474148821.0,	96933
1474148940.0,	96951
1474149060.0,	96961
1474149301.0,	97011
1474149421.0,	97021
1474149540.0,	97031
1474149661.0,	97104
1474149780.0,	97109
1474150022.0,	7
1474150140.0,	8
1474150291.0,	7
1474150385.0,	0
1474150980.0,	97369
1474151101.0,	97384
1474151220.0,	97619
1474151341.0,	97925
1474151460.0,	98050
1474151581.0,	98231
1474151701.0,	98261
1474151821.0,	98357
1474151940.0,	98482
1474152060.0,	98718
1474152180.0,	98959
1474152301.0,	98969
1474152421.0,	99293
1474152540.0,	100520
1474152660.0,	100759
1474152780.0,	100884
1474152901.0,	101034
1474153021.0,	101041
1474153141.0,	101051
1474153380.0,	101056
1474153501.0,	101156
1474153621.0,	101157
1474153740.0,	101259
1474153981.0,	101576
1474154101.0,	101590
1474154340.0,	101670
1474154460.0,	101788
1474154581.0,	101798
1474154700.0,	102130
1474154820.0,	102224
1474154941.0,	102324
1474155060.0,	102500
1474155180.0,	102530
1474155301.0,	102564
1474155421.0,	102684
1474155540.0,	102818
1474155660.0,	102879
1474155781.0,	102889
1474155900.0,	103022
1474156021.0,	103269
1474156140.0,	103374
1474156380.0,	103492
1474156501.0,	103680
1474156621.0,	103710
1474156741.0,	103740
1474156860.0,	103780
1474156981.0,	103790
1474157100.0,	103845
1474157221.0,	103865
1474157340.0,	104029
