#start
# timestamp, 	data
1473409207.0,	8994
1473427567.0,	8995
1473445669.0,	9045
1473446875.0,	9099
1473447479.0,	9143
1473448082.0,	9286
1473448685.0,	9419
1473449288.0,	9429
1473449891.0,	9539
1473450494.0,	9681
1473451097.0,	9811
1473451701.0,	10322
1473452304.0,	10453
1473452907.0,	10569
1473454113.0,	10570
1473454716.0,	10638
1473455320.0,	10680
1473456526.0,	10710
1473457129.0,	11032
1473457732.0,	11156
1473458939.0,	11556
1473459542.0,	11586
1473460145.0,	11621
1473460748.0,	11651
1473461954.0,	11701
1473462557.0,	11731
1473463161.0,	11741
1473463764.0,	11751
1473464367.0,	11841
1473464970.0,	11951
1473466176.0,	11961
1473466779.0,	11963
1473467985.0,	11993
1473469191.0,	12023
1473469794.0,	12134
1473471604.0,	12164
1473472811.0,	12274
1473474621.0,	12304
1473477034.0,	12414
1473478242.0,	12461
1473480655.0,	12521
1473481861.0,	12532
1473482464.0,	12642
1473483067.0,	12672
1473483670.0,	12772
1473484877.0,	12872
1473486083.0,	12903
1473488495.0,	12948
1473491511.0,	12952
1473492114.0,	12954
1473493320.0,	12995
1473495132.0,	13025
1473496941.0,	13035
1473498750.0,	13045
1473501767.0,	13055
1473502370.0,	13065
1473504783.0,	13165
1473508401.0,	13195
1473510210.0,	13295
1473512020.0,	13305
1473512623.0,	13352
1473513829.0,	13395
1473515035.0,	13406
1473516242.0,	13410
1473518051.0,	13530
1473518654.0,	13571
1473519258.0,	13581
1473519861.0,	13637
1473521068.0,	13787
1473521671.0,	13821
1473522877.0,	13831
1473525290.0,	13861
1473526496.0,	13881
1473527099.0,	13882
1473527702.0,	13892
1473528305.0,	13893
1473528909.0,	13992
1473529512.0,	14032
1473530115.0,	14052
1473530719.0,	14083
1473532528.0,	14183
1473533132.0,	14204
1473536150.0,	14214
1473536753.0,	14224
1473537356.0,	14324
1473537959.0,	14335
1473539769.0,	14355
1473540373.0,	14385
1473540976.0,	14407
1473541579.0,	14437
1473542785.0,	14447
1473543388.0,	14457
1473545801.0,	14478
1473546404.0,	14634
1473548215.0,	14638
1473548818.0,	14668
1473550628.0,	14680
1473551231.0,	14690
1473553040.0,	14722
1473553643.0,	14787
1473554246.0,	14823
1473555452.0,	14865
1473556659.0,	14875
1473557865.0,	14905
1473559071.0,	14916
1473560278.0,	14921
1473562088.0,	15021
1473562691.0,	15023
1473564504.0,	15123
1473566313.0,	15131
1473566916.0,	15135
1473568122.0,	15265
1473568726.0,	15276
1473569328.0,	15286
1473570535.0,	15316
1473574757.0,	15446
1473577169.0,	15447
1473578375.0,	15457
1473579581.0,	15467
1473580184.0,	15501
1473580787.0,	15513
1473581993.0,	15524
1473582597.0,	15534
1473583803.0,	15543
1473584406.0,	15545
1473585009.0,	15555
1473585613.0,	15556
1473586216.0,	15559
1473586819.0,	15570
1473587422.0,	15605
1473589232.0,	15635
1473591644.0,	15665
1473592247.0,	15675
1473592850.0,	15685
1473594659.0,	15686
1473595262.0,	15702
1473596468.0,	15732
1473599484.0,	15742
1473601896.0,	15751
1473603104.0,	15763
1473603707.0,	15765
1473604310.0,	15774
1473606119.0,	15779
1473607326.0,	15789
1473607929.0,	15819
1473608532.0,	15823
1473609135.0,	15836
1473609738.0,	15856
1473610944.0,	15886
1473613357.0,	15986
1473614563.0,	15988
1473615166.0,	15998
1473615769.0,	16108
1473616373.0,	16112
1473617579.0,	16122
1473618785.0,	16152
1473619388.0,	16192
1473621197.0,	16222
1473621801.0,	16236
1473622405.0,	16346
1473623612.0,	16387
1473624818.0,	16397
1473625421.0,	16407
1473629645.0,	16452
1473631455.0,	16552
1473634470.0,	16640
1473636882.0,	16644
1473638088.0,	16654
1473638691.0,	16664
1473642913.0,	16666
1473643516.0,	16796
1473646532.0,	16896
1473647738.0,	16900
1473650753.0,	16930
1473651363.0,	17030
1473653175.0,	17060
1473654992.0,	17062
1473656801.0,	17199
1473657404.0,	17203
1473658007.0,	17303
1473661026.0,	17313
1473666454.0,	17323
1473667659.0,	17329
1473669469.0,	17359
1473673087.0,	17362
1473674896.0,	17365
1473676102.0,	17375
1473676705.0,	17376
1473677911.0,	17396
1473680323.0,	17398
1473681528.0,	17400
1473683338.0,	17408
1473684544.0,	17507
1473686957.0,	17611
1473688163.0,	17619
1473691781.0,	17719
1473698417.0,	17729
1473699021.0,	17739
1473699624.0,	17763
1473700831.0,	17813
1473703244.0,	17824
1473703847.0,	17854
1473706259.0,	17884
1473706863.0,	17924
1473707466.0,	18034
1473709276.0,	18046
1473711085.0,	18078
1473716513.0,	18080
1473717116.0,	18147
1473717720.0,	18177
1473718323.0,	18178
1473721338.0,	18180
1473722545.0,	18202
1473723751.0,	18213
1473724354.0,	18253
1473725560.0,	18265
1473730988.0,	18267
1473732194.0,	18367
1473732798.0,	18625
1473733401.0,	18853
1473734004.0,	18954
1473734607.0,	18964
1473735211.0,	19101
1473735814.0,	19338
1473737623.0,	19385
1473741243.0,	19415
1473746069.0,	19480
1473747879.0,	19492
1473748482.0,	19502
1473749688.0,	19552
1473750895.0,	19566
1473751498.0,	19568
1473758737.0,	19598
1473759341.0,	19608
1473759944.0,	19618
1473760547.0,	19620
1473762356.0,	19630
1473767182.0,	19730
1473768388.0,	19751
1473768991.0,	19761
1473775024.0,	19771
1473775627.0,	19783
1473778645.0,	19820
1473779248.0,	19850
1473779851.0,	19860
1473780454.0,	19870
1473781661.0,	19874
1473782868.0,	19889
1473783471.0,	19899
1473785281.0,	19909
1473786487.0,	19933
1473788298.0,	19999
1473788901.0,	20003
1473789504.0,	20154
1473790108.0,	20376
1473790711.0,	20517
1473791314.0,	20558
1473791917.0,	20569
1473792521.0,	20599
1473794331.0,	20604
1473794934.0,	20616
1473795537.0,	20646
1473796744.0,	20751
1473797950.0,	20761
1473798554.0,	20848
1473799157.0,	20861
1473799761.0,	20891
1473800364.0,	20897
1473800967.0,	20898
1473801570.0,	20908
1473802777.0,	21008
1473803380.0,	21033
1473803984.0,	21055
1473804589.0,	21155
1473805796.0,	21266
1473807003.0,	21276
1473807607.0,	21292
1473808211.0,	21302
1473808815.0,	21402
1473810022.0,	21422
1473811833.0,	21438
1473812437.0,	21490
1473813041.0,	21651
1473813644.0,	21788
1473814248.0,	21823
1473814851.0,	21865
1473815455.0,	21964
1473816058.0,	21970
1473816662.0,	22000
1473817265.0,	22119
1473817869.0,	22215
1473819075.0,	22226
1473819679.0,	22252
1473820885.0,	22267
1473822092.0,	22278
1473822695.0,	22290
1473823299.0,	22319
1473823902.0,	22331
1473825108.0,	22333
1473826316.0,	22403
1473826920.0,	22503
1473828127.0,	22605
1473829334.0,	22635
1473829937.0,	22647
1473830541.0,	22658
1473831144.0,	22669
1473832350.0,	22670
1473832954.0,	22681
1473833557.0,	22701
1473834763.0,	22741
1473835366.0,	22771
1473835969.0,	22772
1473838382.0,	22782
1473840798.0,	22848
1473842624.0,	22856
1473845654.0,	22869
1473846258.0,	22879
1473846862.0,	22909
1473848068.0,	23050
1473848671.0,	23075
1473849274.0,	23090
1473851687.0,	23100
1473852893.0,	23110
1473853497.0,	23214
1473854703.0,	23245
1473855910.0,	23255
1473856514.0,	23291
1473857117.0,	23393
1473858324.0,	23504
1473859531.0,	23507
1473861340.0,	23537
1473861949.0,	23543
1473862552.0,	23570
1473864967.0,	23670
1473865570.0,	23681
1473866173.0,	23711
1473866777.0,	23842
1473868587.0,	23872
1473869794.0,	23972
1473871604.0,	23982
1473878843.0,	24004
1473879446.0,	24014
1473880049.0,	24024
1473880652.0,	24124
1473881256.0,	24136
1473882462.0,	24176
1473883065.0,	24187
1473883668.0,	24197
1473885478.0,	24207
1473886684.0,	24227
1473887891.0,	24337
1473888494.0,	24357
1473889097.0,	24457
1473890303.0,	24497
1473890906.0,	24632
1473891510.0,	24742
1473892113.0,	24794
1473892716.0,	24924
1473893319.0,	25088
1473893922.0,	25098
1473894526.0,	25108
1473895732.0,	25117
1473897542.0,	25129
1473899959.0,	25140
1473900562.0,	25141
1473902372.0,	25151
