#Min,	        PogChamp,       BibleThump,               <3,          GivePLZ,         PipeHype,            Kappa,        tothHeart,          WutFace,               :),          TakeNRG,      NotLikeThis,         Kreygasm,        tothMoney,       KappaPride,          OhMyDog,       tothPotato,           VoHiYo,            SMOrc,        KappaRoss,      tothROASTED,        SwiftRage,        taggChamp,               :D,  AMPEnergyCherry,            4Head,               :(,       tothRibbon,          VoteYea,      bleedPurple,         FrankerZ,        tothLange,      tothSpycrab,          HeyGuys,    MrDestructoid,         raysLove,        SeemsGood,         DansGame,    sideshowChamp,     tothDorkcube,        EleGiggle,       twitchRaid,         codScout,       trukPootis,           OpieOP,          TriHard,          slinDab,      DoritosChip,     AMPTropPunch,        taggFries,         cmonBruh,                   # Date
030,             1179,             3548,              305,               66,                0,              150,              277,               48,               78,               38,                9,              108,              278,               34,                6,               45,               13,               78,               11,               18,               34,              115,               48,                5,               48,               83,               57,               58,                2,                8,               35,               38,               23,               13,                8,               17,               14,               18,                5,               14,                8,                1,               52,                2,               14,                2,               14,               44,               13,               10,            44280,  	# Sept 16, 12:
090,              614,              251,              128,               27,                0,              157,              166,               64,               76,               21,               34,               50,              361,               31,                8,               45,               13,               19,                2,               24,               18,               75,               38,                1,               43,               44,               18,                5,               23,                2,               18,               28,               17,                0,              214,               15,               41,               11,               18,               16,                0,                0,              132,               11,                7,                0,               51,                0,              446,               19,            33594,  	# Sept 16, 13:
150,              335,               12,               35,              207,                0,              119,               46,               60,               90,              203,               91,               60,               41,               29,              466,              216,               18,               42,                2,               44,               24,               14,               33,                0,              107,               25,               24,               36,                0,                3,               20,               57,                9,                1,                0,               16,               30,               27,                8,              105,                0,                0,                8,               15,                6,                8,                2,              116,                7,               13,            42664,  	# Sept 16, 14:
210,              551,               33,               18,              836,                1,               98,                9,               44,               24,              877,               99,               69,               32,                2,               72,              191,               47,               54,                2,                5,               23,                9,               14,                0,               78,               15,               13,               51,                0,                1,                5,               18,               22,                1,                3,               21,               50,                1,                5,              257,                0,               28,                4,               16,                2,                8,                4,                1,                9,                3,            41070,  	# Sept 16, 15:
270,              576,               29,               62,              119,                0,              384,               37,               86,               39,               66,               25,               41,               38,               42,               31,               35,                9,              110,               22,               23,               16,               11,               21,                0,               82,               20,                2,                1,                0,               26,               20,               21,               61,               39,                1,               17,               26,                2,                4,               22,                3,                0,                5,               10,                3,                2,                3,                0,                2,                7,            36369,  	# Sept 16, 16:
330,              341,               17,               39,               14,                0,               96,               23,               70,              105,               16,               24,               54,              151,               17,              105,               16,               12,               21,                3,               18,               17,               14,               31,                0,               15,               24,               15,               10,                3,                5,                7,               39,               18,                2,                2,               15,               46,                2,                9,                8,                1,                1,                1,                8,               18,               20,                0,                0,                0,               10,            25445,  	# Sept 16, 17:
390,              377,              228,               29,                9,                0,              266,               90,               51,               51,                4,               41,              143,               45,               60,               14,              133,                3,               18,               38,               26,               22,               41,               18,                0,               23,               29,                5,                6,                1,                4,              120,                9,               28,                2,                5,               13,               20,              101,               29,               11,                1,                0,                4,               11,               11,               12,                5,                0,               17,               11,            28503,  	# Sept 16, 18:
450,              296,               80,              207,               33,                0,              148,               99,               87,               92,               11,               39,               90,              102,               46,                4,               31,                3,                2,              109,                8,                8,               27,               15,                0,               37,               24,               11,                4,               19,                8,               37,               15,               34,               25,               15,                6,               14,               32,               27,                1,                0,                0,                8,                2,               16,                4,                4,                1,               16,                8,            23695,  	# Sept 16, 19:
510,              156,               95,               43,               10,                0,               69,               20,              110,               33,                5,               52,              138,               28,                9,               58,               24,                1,               36,               60,               19,                7,                8,               22,                0,               29,               23,                9,                0,                0,                0,               37,                2,               36,                0,                0,               14,               12,                9,                9,                6,                3,                0,                9,                4,                7,               26,               22,                3,                0,                0,            25300,  	# Sept 16, 20:
570,              381,               47,               26,               14,                1,               58,               56,               25,              161,                4,               12,               28,              201,               17,               11,              100,                2,                1,                3,               11,                8,                3,               14,                1,              196,               17,                9,               13,                0,                4,               12,               27,               18,                1,                7,                2,               15,                1,               13,                5,                0,                0,                3,                5,                1,                0,                1,                1,                0,                3,            19818,  	# Sept 16, 21:
630,             1309,              105,               26,              488,                0,               87,                9,              267,               83,              286,              109,              139,               22,               37,               10,               10,                2,                4,                2,               86,               19,               31,               12,                1,               35,               15,               10,               17,                0,                5,               82,                2,               14,                1,                2,               14,               69,                0,                2,               11,                0,                0,               12,               10,               51,               65,                7,                0,                0,                7,            31549,  	# Sept 16, 22:
690,              253,                9,               29,               16,                0,              162,              146,               34,               70,                3,               16,               36,               21,               86,               14,              107,                0,                2,               14,              248,                2,                7,               23,                0,               11,                7,               12,               17,                0,                3,                5,                1,                5,                6,                0,                4,               20,                1,                4,                4,                0,                2,                1,                0,                1,                3,                3,                1,                0,                3,            17299,  	# Sept 16, 23:
750,              747,             1663,              141,               75,                3,              185,               93,               98,               92,               37,               30,              158,              132,              165,               52,              151,               18,              146,                4,              109,               13,               16,               34,                0,               30,               42,               36,               57,               11,                5,               21,               33,               19,                3,               80,              207,               45,               19,               30,                2,               20,               27,               16,                8,                2,                2,               73,                0,                0,               16,            41537,  	# Sept 17, 12:
810,             1050,               93,              559,               52,                0,               95,              209,              267,              222,               31,               15,              169,               94,              125,                8,               11,               15,                2,              244,               64,               13,                8,               13,                1,               26,               21,               21,                4,               21,                5,               11,                6,               21,                2,               28,               31,               26,               24,                8,                1,                0,                0,               12,                9,               18,                0,               14,                2,                0,               10,            30211,  	# Sept 17, 13:
870,              444,               50,              102,               99,                0,              191,               29,             2585,               27,               49,              110,              114,                2,               51,                0,               11,               18,                5,               15,               74,               13,               32,               46,                2,               17,               15,                6,               33,                2,               43,               29,                1,                8,                1,                1,               21,               28,                6,               18,                1,                1,                7,               17,                1,               70,                4,                4,                0,                0,               19,            30456,  	# Sept 17, 14:
930,              725,              977,               61,               55,                2,              562,               70,               50,               47,               25,              294,               65,              101,              151,                9,               25,                2,                6,                9,               27,               18,               34,               11,                1,               26,               30,               28,               44,                3,              652,                3,                4,               22,                0,                2,               40,               19,                4,               16,                1,                0,                0,                1,              350,                5,               42,                0,                1,               22,                6,            51783,  	# Sept 17, 15:
990,             1023,               23,              423,               66,                0,              102,              273,               56,              425,               63,               31,              162,               15,              110,               31,               18,                3,               15,                1,               20,               42,               19,               59,                0,               21,               31,               34,               21,               27,                4,                3,               28,               20,                2,                4,               22,               23,                9,               29,               10,                2,                3,               14,               10,               15,                2,                2,               31,                6,                3,            39381,  	# Sept 17, 16:
1050,              300,             1017,              480,               25,                0,               62,              103,               44,              118,               13,               32,               42,                4,              112,               32,               31,                1,               72,                2,               17,              138,               10,               18,                0,               15,               69,               37,                5,               24,                5,                1,               15,               17,                2,               11,               73,               10,               10,               20,                8,                0,                4,                2,                6,                2,                6,                2,                3,                0,                3,            26434,  	# Sept 17, 17:
1110,              455,              149,               58,                9,                0,              129,               53,               42,              218,               11,               18,               98,              172,              247,                5,               75,                2,                6,                5,               15,               15,                6,               43,                1,               33,               26,               14,               48,                0,                8,                8,                7,                9,                2,                2,               35,               10,                7,               29,                1,                0,               13,                9,                7,                2,                5,               13,                2,                0,               11,            26988,  	# Sept 17, 18:
1170,              416,             1259,              126,               17,                4,              157,               78,               41,               77,               12,              101,               97,               50,               72,                3,               32,                6,                1,                7,                8,                5,                6,               17,                2,               46,               15,               37,                8,                1,                1,                2,               20,               19,                2,                1,               19,               22,                0,                1,               13,                1,                2,                0,               11,               11,                5,                3,                1,                0,                9,            27432,  	# Sept 17, 19:
1230,              567,               16,               51,             2096,                0,              130,               87,               55,               87,             1986,               44,              187,              243,              172,               55,               88,               63,                3,                4,               17,                5,               19,               20,               26,                6,               27,               18,               11,                1,               24,               46,               26,                8,                0,                2,               12,                6,               29,               66,                1,                0,               18,                9,                6,                1,                1,                2,               25,                1,                4,            32475,  	# Sept 17, 20:
1290,              122,                5,               32,               15,                1,               68,               69,               42,               78,               14,               17,               95,               74,               85,                2,               50,               40,               28,                2,               33,                6,               20,               51,                0,               34,               21,                9,                7,                5,               18,               12,               39,               12,                1,                5,               10,                7,                7,               37,                4,                0,               15,                0,                9,                3,                5,                3,                2,                3,                2,            22356,  	# Sept 17, 21:
1350,              332,             1291,              120,             4750,                0,              489,               29,              113,               57,               40,               13,               77,               84,               98,               13,               18,                3,              274,               17,              297,                9,                4,               17,                0,               15,               21,                9,                4,               33,              271,                3,                7,                6,                2,                0,               14,               30,               18,               54,               97,                0,               46,               36,                4,               18,              132,               25,                5,               14,              173,            49543,  	# Sept 17, 22:
1410,              816,              165,              173,               12,                2,              180,               18,              148,              126,               11,               14,              224,               56,              141,               12,               11,               26,               18,                8,               20,               27,               15,               21,               10,               14,               18,                6,               32,                1,               87,                5,                7,                6,                4,               23,               28,               11,                1,               32,               11,                0,              320,               53,               68,               15,                0,                2,                0,                0,                8,            33619,  	# Sept 17, 23:
1470,              848,             3473,              311,              100,                0,              411,              224,               24,              281,               44,               27,               91,              129,              330,               22,               61,               22,               63,              123,               27,               11,                9,              104,                1,               13,               86,               56,               11,                1,               41,               97,               53,                9,                3,               10,               18,               15,                2,               21,                3,                1,                3,               18,               38,                0,                0,                8,                4,                1,               16,            36354,  	# Sept 18, 12:
1530,              246,               77,               27,               61,                1,               98,               31,              215,               35,               27,               20,              156,               12,              300,                5,               69,                0,               66,              102,                9,               65,               28,               14,                1,                6,               20,                7,               40,                1,                0,                8,                0,               12,                3,                2,                8,               14,               16,               32,                6,                1,                5,               21,                5,               24,                4,                2,                0,                0,               59,            24356,  	# Sept 18, 13:
1590,              777,              630,              285,              517,               12,              112,               96,              111,              112,               81,               47,               67,               44,               94,                3,                6,                0,              116,               21,               22,                5,               19,               17,                4,                9,               41,               23,               24,               15,                3,               13,                5,               22,                1,              134,               22,               46,                0,                6,                4,                0,               13,               34,                3,                1,                5,                0,                1,                2,               12,            31940,  	# Sept 18, 14:
1650,             5024,              101,              121,              210,             1011,              173,               21,              131,              355,              108,              177,              254,               28,              191,               18,               17,               60,              239,                7,                6,               24,               38,               27,                0,               29,               16,               14,                1,                0,               40,                1,                0,               96,                4,               13,               45,               35,                5,                2,                7,                0,                0,                1,                6,               71,                0,               30,               11,                0,                3,            47554,  	# Sept 18, 15:
1710,             1758,               20,               52,               76,             5897,              217,               92,               99,              134,               46,              122,               70,              126,               61,              114,               48,              237,               12,               11,              122,               13,                5,               27,                7,              125,               20,                4,                1,                4,               57,               32,               13,               10,                5,                1,               22,               25,                0,                4,                4,                0,                0,                5,                1,               34,               17,                2,                0,                0,                9,            50963,  	# Sept 18, 16:
