#start
# timestamp, 	data
423,	2830
424,	2837
425,	2837
425,	2837
426,	2801
427,	2801
427,	2801
428,	2780
429,	2780
429,	2757
430,	2800
431,	2800
431,	2821
432,	2848
433,	2848
433,	2842
434,	2845
435,	2845
435,	2864
436,	2893
437,	2893
437,	2910
438,	2878
439,	2878
439,	2905
440,	2901
441,	2901
441,	2894
442,	2892
443,	2892
443,	2858
444,	2896
445,	2896
445,	2898
446,	2903
447,	2903
447,	2852
448,	2854
449,	2854
449,	2828
450,	2809
451,	2809
451,	2820
452,	2826
453,	2826
453,	2836
454,	2824
455,	2824
455,	2810
456,	2796
457,	2796
457,	2804
458,	2804
459,	2804
459,	2776
460,	2788
461,	2788
461,	2749
462,	2774
463,	2774
463,	2773
464,	2768
465,	2768
465,	2780
466,	2772
467,	2772
467,	2798
468,	2801
469,	2801
469,	2802
470,	2784
471,	2784
471,	2785
472,	2785
473,	2785
473,	2753
474,	2787
475,	2787
475,	2803
476,	2790
477,	2790
477,	2765
478,	2805
479,	2805
479,	2810
480,	2780
481,	2780
481,	2780
482,	2746
483,	2746
483,	2751
484,	2746
485,	2746
485,	2720
486,	2714
487,	2714
487,	2725
488,	2732
489,	2732
489,	2732
490,	2736
491,	2736
491,	2709
492,	2705
493,	2705
493,	2719
494,	2719
495,	2719
495,	2735
496,	2734
497,	2734
497,	2725
498,	2705
499,	2705
499,	2695
500,	2695
501,	2695
501,	2661
502,	2659
503,	2659
503,	2671
504,	3007
505,	3007
505,	4190
506,	4172
507,	4172
507,	3967
508,	3875
509,	3875
509,	3836
510,	3733
511,	3733
511,	3733
512,	3651
513,	3651
513,	3617
514,	3557
515,	3557
515,	3499
516,	3387
517,	3387
517,	3391
518,	3385
519,	3385
519,	3385
520,	3385
521,	3385
521,	3385
524,	1099
525,	1099
525,	1775
526,	1922
527,	1922
527,	1957
528,	1960
529,	1960
529,	1974
530,	1990
531,	1990
531,	1994
532,	2028
533,	2028
533,	2027
534,	2054
535,	2054
535,	2066
536,	2058
537,	2058
537,	2058
538,	2049
539,	2049
539,	2009
540,	1924
541,	1924
541,	1917
542,	1897
543,	1897
543,	1899
544,	1904
545,	1904
545,	1892
546,	1878
547,	1878
547,	1878
548,	1893
549,	1893
549,	1893
550,	1903
551,	1903
551,	1900
552,	1900
553,	1900
553,	1943
554,	1965
555,	1965
555,	1989
556,	1992
557,	1992
557,	2006
558,	2022
559,	2022
559,	2022
560,	2043
561,	2043
561,	2062
562,	2038
563,	2038
563,	2038
564,	2060
565,	2060
565,	2092
566,	2087
567,	2087
567,	2103
568,	2085
569,	2085
569,	2086
570,	2109
571,	2109
571,	2126
572,	2107
573,	2107
573,	2119
574,	2137
575,	2137
575,	2137
576,	2148
577,	2148
577,	2123
578,	2116
579,	2116
579,	2081
580,	2051
581,	2051
581,	2060
582,	2090
583,	2090
583,	2084
584,	2094
585,	2094
585,	2091
586,	2090
587,	2090
587,	2077
588,	2093
589,	2093
589,	2096
590,	2104
591,	2104
591,	2116
592,	2109
593,	2109
593,	2117
594,	2102
595,	2102
595,	2092
596,	2113
597,	2113
597,	2124
598,	2115
599,	2115
599,	2117
600,	2106
601,	2106
601,	2093
602,	2087
603,	2087
603,	2048
604,	2021
605,	2021
605,	1935
606,	1918
607,	1918
607,	1891
608,	1884
609,	1884
609,	1846
610,	1831
611,	1831
611,	1841
612,	1866
613,	1866
613,	1872
614,	1872
615,	1872
615,	1854
616,	1854
617,	1854
617,	1854
618,	1846
619,	1846
619,	1839
620,	1841
621,	1841
621,	1833
622,	1837
623,	1837
623,	1859
624,	1855
625,	1855
625,	1846
626,	1857
627,	1857
627,	1862
628,	1822
629,	1822
629,	1838
630,	1852
631,	1852
631,	1864
632,	1855
633,	1855
633,	1868
634,	1880
635,	1880
635,	1872
636,	1862
637,	1862
637,	1868
638,	1862
639,	1862
639,	1876
640,	1870
641,	1870
641,	1858
642,	1859
643,	1859
643,	1859
644,	1860
645,	1860
645,	1869
646,	1878
647,	1878
647,	1891
